Home_Page,Movie_Name,Genres,Release_Date,Vote_Average,Vote_Count,Budget_USD,Revenue,Run_Time_Minutes,Poster_URL
https://www.imdb.com/title/tt6263850/,Deadpool & Wolverine,Action,7/26/24,7.6,468K,$200.0M,1300000000,128,https://image.tmdb.org/t/p/w500/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg
https://www.imdb.com/title/tt17279496/,Civil War,Action,4/12/24,7.0,227K,$50.0M,127300000,109,https://image.tmdb.org/t/p/w500/sh7Rg8Er3tFcN9BpKIPOMvALgZd.jpg
https://www.imdb.com/title/tt16366836/,Venom: The Last Dance,Action,10/25/24,6.0,95K,$120.0M,478900000,110,https://image.tmdb.org/t/p/w500/vGXptEdgZIhPg3cGlc7e8sNPC2e.jpg
https://www.imdb.com/title/tt12037194/,Furiosa: A Mad Max Saga,Action,5/24/24,7.5,270K,$168.0M,174200000,148,https://image.tmdb.org/t/p/w500/iADOJ8Zymht2JPMoy3R7xceZprc.jpg
https://www.imdb.com/title/tt16426418/,Challengers,Comedy,4/26/24,7.1,145K,$55.0M,96100000,131,https://image.tmdb.org/t/p/w500/H6vke7zGiuLsz4v4RPeReb9rsv.jpg
https://www.imdb.com/title/tt29383379/,Marco,Action,12/20/24,7.3,17K,$3.8M,2000000,145,https://image.tmdb.org/t/p/w500/11cqYaw5KFRg3lw15tivfxM5yym.jpg
https://www.imdb.com/title/tt24871974/,Subservience,Sci-Fi,9/13/24,5.4,24K,0,279900,106,https://image.tmdb.org/t/p/w500/gBenxR01Uy0Ev9RTIw6dVBPoyQU.jpg
https://www.imdb.com/title/tt26446278/,The Count of Monte-Cristo,Action,12/20/24,7.6,30K,$46.8M,77100000,178,https://image.tmdb.org/t/p/w500/ifMgDAUXVQLY4DeOu3VTTi55jSP.jpg
https://www.imdb.com/title/tt1684562/,The Fall Guy,Action,5/3/24,6.8,211K,$125.0M,181100000,126,https://image.tmdb.org/t/p/w500/e7olqFmzcIX5c23kX4zSmLPJi8c.jpg
https://www.imdb.com/title/tt27534307/,Speak No Evil,Drama,9/13/24,6.8,87K,$15.0M,76800000,110,https://image.tmdb.org/t/p/w500/6NwAlU6ZH6ua3sYpFAUpUnoKUmi.jpg
https://www.imdb.com/title/tt22893404/,Maria,Biography,12/11/24,6.5,15K,0,12200000,124,https://image.tmdb.org/t/p/w500/3oQRG0bwPUqE4N4n8z2kAzr7e40.jpg
https://www.imdb.com/title/tt29268110/,Smile 2,Horror,10/18/24,6.8,91K,$28.0M,138100000,127,https://image.tmdb.org/t/p/w500/ht8Uv9QPv9y7K0RvUyJIaXOZTfd.jpg
https://www.imdb.com/title/tt17505010/,Horizon: An American Saga - Chapter 1,Drama,6/28/24,6.7,38K,$100.0M,38700000,181,https://image.tmdb.org/t/p/w500/hqDkO0W9uk4aiwzn3pTeLO7NPZD.jpg
https://www.imdb.com/title/tt22939186/,Arcadian,Action,4/12/24,5.5,22K,0,1200000,92,https://image.tmdb.org/t/p/w500/h4T8Xeydkw53h9uIbulYsss25UF.jpg
https://www.imdb.com/title/tt12584954/,Twisters,Action,7/19/24,6.5,155K,$155.0M,372300000,122,https://image.tmdb.org/t/p/w500/pjnD08FlMAIXsfOLKQbvmO0f0MD.jpg
https://www.imdb.com/title/tt29439114/,The Room Next Door,Drama,10/18/24,6.9,16K,0,16100000,107,https://image.tmdb.org/t/p/w500/qMibLyArrlBJ87AoqQBeVaFeRXp.jpg
https://www.imdb.com/title/tt26625693/,The Order,Crime,12/6/24,6.8,27K,0,2300000,116,https://image.tmdb.org/t/p/w500/1bJ2652AUnuK1WhlR0GLbJKVqMF.jpg
https://www.imdb.com/title/tt22741760/,Your Monster,Comedy,10/25/24,6.5,4.8K,0,809900,103,https://image.tmdb.org/t/p/w500/nHlHRntqfDM0ORsfgPL28u4GiTT.jpg
https://www.imdb.com/title/tt18559464/,My Old Ass,Comedy,11/7/24,6.9,35K,0,5700000,89,https://image.tmdb.org/t/p/w500/yUs4Sw9AyTg2sA1qWBkNpD2mGSj.jpg
https://www.imdb.com/title/tt15685360/,You Gotta Believe,Family,8/30/24,5.7,1.1K,0,1400000,104,https://image.tmdb.org/t/p/w500/l4X9SeMFCv414BCt97IBgzYX7JC.jpg
https://www.imdb.com/title/tt2049403/,Beetlejuice Beetlejuice,Comedy,9/6/24,6.7,139K,$100.0M,451900000,105,https://image.tmdb.org/t/p/w500/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg
https://www.imdb.com/title/tt5177120/,The Ministry of Ungentlemanly Warfare,Action,4/19/24,6.8,129K,$60.0M,29700000,122,https://image.tmdb.org/t/p/w500/8aF0iAKH9MJMYAZdi0Slg77RYa2.jpg
https://www.imdb.com/title/tt11315808/,Joker: Folie à Deux,Drama,10/4/24,5.2,153K,$190.0M,207500000,138,https://image.tmdb.org/t/p/w500/aciP8Km0waTLXEYf5ybFK5CSUxl.jpg
https://www.imdb.com/title/tt10128846/,Megalopolis,Drama,9/27/24,4.7,33K,$120.0M,14300000,138,https://image.tmdb.org/t/p/w500/8Sok3HNA3r1GHnK2lCytHyBz1A.jpg
https://www.imdb.com/title/tt27196021/,Small Things Like These,Drama,11/8/24,6.8,18K,0,10800000,98,https://image.tmdb.org/t/p/w500/rdcO38cbWFg002nXg5QYtk7Tz4L.jpg
https://www.imdb.com/title/tt23853982/,Parthenope,Drama,10/24/24,6.8,5.9K,$28.7M,10000000,136,https://image.tmdb.org/t/p/w500/k3BL39ca5pliALDTzUdC9ZIB9gk.jpg
https://www.imdb.com/title/tt19861162/,The Return,Adventure,12/6/24,6.2,6.6K,0,1800000,116,https://image.tmdb.org/t/p/w500/xSj6EbdwHs3MFT2tRj9L3I7TE5j.jpg
https://www.imdb.com/title/tt22408160/,Kinds of Kindness,Comedy,6/28/24,6.5,56K,$15.0M,16399999,164,https://image.tmdb.org/t/p/w500/50lPmjIpDs8gKfgK7fPIeKzpllh.jpg
https://www.imdb.com/title/tt4978420/,Borderlands,Action,8/9/24,4.6,41K,$115.0M,33000000,101,https://image.tmdb.org/t/p/w500/4JGoZu1ZKFpMJTWAP35PCfkMgu8.jpg
https://www.imdb.com/title/tt29137778/,Homestead,Action,12/20/24,5.5,2.8K,$5.0M,20800000,112,https://image.tmdb.org/t/p/w500/fKts7WTTP7KWvI6N7WYIuEhmgXP.jpg
https://www.imdb.com/title/tt27911000/,Terrifier 3,Horror,10/11/24,6.3,45K,$2.0M,90000000,125,https://image.tmdb.org/t/p/w500/ju10W5gl3PPK3b7TjEmVOZap51I.jpg
https://www.imdb.com/title/tt22022452/,Inside Out 2,Animation,6/14/24,7.5,205K,$200.0M,1700000000,96,https://image.tmdb.org/t/p/w500/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
https://www.imdb.com/title/tt26753003/,Trap,Crime,8/2/24,5.9,125K,$30.0M,83700000,105,https://image.tmdb.org/t/p/w500/jwoaKYVqPgYemFpaANL941EF94R.jpg
https://www.imdb.com/title/tt27489557/,Abigail,Horror,4/19/24,6.6,91K,$28.0M,42800000,109,https://image.tmdb.org/t/p/w500/5gKKSoD3iezjoL7YqZONjmyAiRA.jpg
https://www.imdb.com/title/tt14824600/,The Lord of the Rings: The War of the Rohirrim,Animation,12/13/24,6.3,23K,$30.0M,20500000,134,https://image.tmdb.org/t/p/w500/hE9SAMyMSUGAPsHUGdyl6irv11v.jpg
https://www.imdb.com/title/tt15314262/,The Beekeeper,Action,1/12/24,6.3,150K,$40.0M,152700000,105,https://image.tmdb.org/t/p/w500/A7EByudX0eOzlkQ2FIbogzyazm2.jpg
https://www.imdb.com/title/tt4919268/,Bad Boys: Ride or Die,Action,6/7/24,6.5,95K,$100.0M,404600000,115,https://image.tmdb.org/t/p/w500/oGythE98MYleE6mZlGs5oBGkux1.jpg
https://www.imdb.com/title/tt14948432/,Red One,Action,11/15/24,6.3,134K,$350.0M,185900000,123,https://image.tmdb.org/t/p/w500/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
https://www.imdb.com/title/tt23558280/,Elevation,Action,11/26/24,5.6,14K,0,3600000,91,https://image.tmdb.org/t/p/w500/tnfc0NJ3BzhJrGJhkkEd6MHBdq5.jpg
https://www.imdb.com/title/tt27540542/,Lucky Baskhar,Crime,10/31/24,8.0,28K,0,987400,148,https://image.tmdb.org/t/p/w500/a47JQFl9L7VDa79tEvnTOJe0rPa.jpg
https://www.imdb.com/title/tt1896747/,Fly Me to the Moon,Comedy,7/12/24,6.6,46K,$100.0M,42200000,132,https://image.tmdb.org/t/p/w500/gjk8YdXpItoC1in53FCrZMFIuBx.jpg
https://www.imdb.com/title/tt13433802/,A Quiet Place: Day One,Drama,6/28/24,6.3,141K,$67.0M,261899999,99,https://image.tmdb.org/t/p/w500/hU42CRk14JuPEdqZG3AWmagiPAP.jpg
https://www.imdb.com/title/tt11152168/,IF,Animation,5/17/24,6.4,55K,$110.0M,190500000,104,https://image.tmdb.org/t/p/w500/xbKFv4KF3sVYuWKllLlwWDmuZP7.jpg
https://www.imdb.com/title/tt22048412/,MaXXXine,Crime,7/5/24,6.3,64K,$1.0M,22100000,103,https://image.tmdb.org/t/p/w500/ArvoFK6nlouZRxYmtIOUzKIrg90.jpg
https://www.imdb.com/title/tt11389872/,Kingdom of the Planet of the Apes,Action,5/10/24,6.9,146K,$160.0M,397400000,145,https://image.tmdb.org/t/p/w500/gKkl37BQuKTanygYQG1pyYgLVgf.jpg
https://www.imdb.com/title/tt19637052/,Love Lies Bleeding,Action,5/3/24,6.6,54K,0,12800000,104,https://image.tmdb.org/t/p/w500/p7jyFWiLyHPttqYBFAlLJwtYTYH.jpg
https://www.imdb.com/title/tt20247888/,Emmanuelle,Drama,9/25/24,4.2,1.2K,0,692400,107,https://image.tmdb.org/t/p/w500/z0s0gmgD0FwEXsz0fkH2025Ohnk.jpg
https://www.imdb.com/title/tt8864596/,Transformers One,Animation,9/20/24,7.6,45K,$75.0M,129400000,104,https://image.tmdb.org/t/p/w500/iRCgqpdVE4wyLQvGYU3ZP7pAtUc.jpg
https://www.imdb.com/title/tt15574270/,I Saw the TV Glow,Drama,5/17/24,5.8,33K,0,5400000,100,https://image.tmdb.org/t/p/w500/cuRtGUyF9WjiuFEe2CIop2Xp8LH.jpg
https://www.imdb.com/title/tt7510222/,Despicable Me 4,Animation,7/3/24,6.2,59K,$100.0M,969100000,94,https://image.tmdb.org/t/p/w500/wWba3TaojhK7NdycRhoQpsG0FaH.jpg
https://www.imdb.com/title/tt14539740/,Godzilla x Kong: The New Empire,Action,3/29/24,6.1,117K,$135.0M,571900000,115,https://image.tmdb.org/t/p/w500/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg
https://www.imdb.com/title/tt23770030/,Memoir of a Snail,Animation,10/17/24,7.8,11K,0,1900000,95,https://image.tmdb.org/t/p/w500/woaN8CbloH0akyX0E72ayxlJAB4.jpg
https://www.imdb.com/title/tt10449276/,Get Away,Comedy,12/6/24,5.3,5.4K,0,179900,86,https://image.tmdb.org/t/p/w500/ser6ZCKHMXhQISKULYCxz6Saf3I.jpg
https://www.imdb.com/title/tt15041836/,Werewolves,Action,12/6/24,4.4,5.4K,0,2100000,93,https://image.tmdb.org/t/p/w500/otXBlMPbFBRs6o2Xt6KX59Qw6dL.jpg
https://www.imdb.com/title/tt6133444/,The Fire Inside,Biography,12/25/24,6.8,1.9K,$12.0M,8100000,109,https://image.tmdb.org/t/p/w500/dMorkoCdZJ1xmKv0VAXcpUax6Ar.jpg
https://www.imdb.com/title/tt32086077/,All We Imagine as Light,Drama,10/2/24,7.1,7.3K,0,3100000,118,https://image.tmdb.org/t/p/w500/ruImrzB4POsrgwCMozmOBV67zs5.jpg
https://www.imdb.com/title/tt1340094/,The Crow,Action,8/23/24,4.7,30K,$50.0M,24100000,111,https://image.tmdb.org/t/p/w500/g8TbOXrNMuqq7AaKqdvqS2oG4ob.jpg
https://www.imdb.com/title/tt22004344/,Snack Shack,Comedy,4/2/24,7.0,11K,0,455700,112,https://image.tmdb.org/t/p/w500/wCXd5tpUSc12LVPd2oN9OKU1EVQ.jpg
https://www.imdb.com/title/tt26470109/,Oddity,Horror,7/19/24,6.7,38K,0,1800000,98,https://image.tmdb.org/t/p/w500/3Z9c1tbUhP0QruRjczPHnbx3U2D.jpg
https://www.imdb.com/title/tt27367464/,Kneecap,Comedy,8/2/24,7.6,15K,0,4600000,105,https://image.tmdb.org/t/p/w500/gEbQi5QWUg3CQ9R5dwvPBvbOX17.jpg
https://www.imdb.com/title/tt26736843/,The Watchers,Fantasy,6/7/24,5.7,53K,0,33400000,102,https://image.tmdb.org/t/p/w500/vZVEUPychdvZLrTNwWErr9xZFmu.jpg
https://www.imdb.com/title/tt28277817/,Bird,Drama,12/23/24,7.0,6.5K,0,1600000,119,https://image.tmdb.org/t/p/w500/wKshd6n8EKrwbE2fLOUqC4TSG6O.jpg
https://www.imdb.com/title/tt1121948/,The Killer,Action,8/23/24,5.7,12K,$30.0M,318600,126,https://image.tmdb.org/t/p/w500/6PCnxKZZIVRanWb710pNpYVkCSw.jpg
https://www.imdb.com/title/tt15939198/,Blitz,Action,11/1/24,6.2,15K,0,1400000,120,https://image.tmdb.org/t/p/w500/e9tyjbF2rugENtBolTtEhHOXgzD.jpg
https://www.imdb.com/title/tt12349832/,Cuckoo,Horror,8/9/24,5.7,23K,$7.0M,6700000,102,https://image.tmdb.org/t/p/w500/4bGP5cnSZbfBJfIidZNSEIKnav7.jpg
https://www.imdb.com/title/tt11057302/,Madame Web,Action,2/14/24,4.0,98K,$80.0M,100500000,116,https://image.tmdb.org/t/p/w500/rULWuutDcN5NvtiZi4FRPzRYWSh.jpg
https://www.imdb.com/title/tt10171472/,Goodrich,Comedy,10/17/24,6.3,4.4K,0,2000000,110,https://image.tmdb.org/t/p/w500/269xdEQkEQjjPtM2WeVDAeetJn8.jpg
https://www.imdb.com/title/tt20316748/,Twilight of the Warriors: Walled In,Action,5/1/24,7.0,8.1K,$39.0M,17100000,126,https://image.tmdb.org/t/p/w500/h0tunBO4tMjvKVVG7fXqHgwOr5C.jpg
