Home_Page,Movie_Name,Genres,Release_Date,Vote_Average,Vote_Count,Budget_USD,Revenue_$,Run_Time_Minutes
https://www.imdb.com/title/tt23853982/,Parthenope,Drama,10/24/24,6.8,5.9K,$28.7M,$10.0M,136
https://www.imdb.com/title/tt19861162/,The Return,Adventure,12/6/24,6.2,6.6K,0,$1.8M,116
https://www.imdb.com/title/tt22408160/,Kinds of Kindness,Comedy,6/28/24,6.5,56K,$15.0M,$16.4M,164
https://www.imdb.com/title/tt4978420/,Borderlands,Action,8/9/24,4.6,41K,$115.0M,$33.0M,101
https://www.imdb.com/title/tt29137778/,Homestead,Action,12/20/24,5.5,2.8K,$5.0M,$20.8M,112
https://www.imdb.com/title/tt27911000/,Terrifier 3,Horror,10/11/24,6.3,45K,$2.0M,$90.0M,125
https://www.imdb.com/title/tt22022452/,Inside Out 2,Animation,6/14/24,7.5,205K,$200.0M,$1.7B,96
https://www.imdb.com/title/tt26753003/,Trap,Crime,8/2/24,5.9,125K,$30.0M,$83.7M,105
https://www.imdb.com/title/tt27489557/,Abigail,Horror,4/19/24,6.6,91K,$28.0M,$42.8M,109
https://www.imdb.com/title/tt14824600/,The Lord of the Rings: The War of the Rohirrim,Animation,12/13/24,6.3,23K,$30.0M,$20.5M,134
https://www.imdb.com/title/tt15314262/,The Beekeeper,Action,1/12/24,6.3,150K,$40.0M,$152.7M,105
https://www.imdb.com/title/tt4919268/,Bad Boys: Ride or Die,Action,6/7/24,6.5,95K,$100.0M,$404.6M,115
https://www.imdb.com/title/tt14948432/,Red One,Action,11/15/24,6.3,134K,$350.0M,$185.9M,123
https://www.imdb.com/title/tt23558280/,Elevation,Action,11/26/24,5.6,14K,0,$3.6M,91
https://www.imdb.com/title/tt27540542/,Lucky Baskhar,Crime,10/31/24,8,28K,0,$987.4K,148
https://www.imdb.com/title/tt1896747/,Fly Me to the Moon,Comedy,7/12/24,6.6,46K,$100.0M,$42.2M,132
https://www.imdb.com/title/tt13433802/,A Quiet Place: Day One,Drama,6/28/24,6.3,141K,$67.0M,$261.9M,99
https://www.imdb.com/title/tt11152168/,IF,Animation,5/17/24,6.4,55K,$110.0M,$190.5M,104
https://www.imdb.com/title/tt22048412/,MaXXXine,Crime,7/5/24,6.3,64K,$1.0M,$22.1M,103
https://www.imdb.com/title/tt11389872/,Kingdom of the Planet of the Apes,Action,5/10/24,6.9,146K,$160.0M,$397.4M,145
https://www.imdb.com/title/tt19637052/,Love Lies Bleeding,Action,5/3/24,6.6,54K,0,$12.8M,104
https://www.imdb.com/title/tt20247888/,Emmanuelle,Drama,9/25/24,4.2,1.2K,0,$692.4K,107
https://www.imdb.com/title/tt8864596/,Transformers One,Animation,9/20/24,7.6,45K,$75.0M,$129.4M,104
https://www.imdb.com/title/tt15574270/,I Saw the TV Glow,Drama,5/17/24,5.8,33K,0,$5.4M,100
https://www.imdb.com/title/tt7510222/,Despicable Me 4,Animation,7/3/24,6.2,59K,$100.0M,$969.1M,94
https://www.imdb.com/title/tt14539740/,Godzilla x Kong: The New Empire,Action,3/29/24,6.1,117K,$135.0M,$571.9M,115
https://www.imdb.com/title/tt23770030/,Memoir of a Snail,Animation,10/17/24,7.8,11K,0,$1.9M,95
https://www.imdb.com/title/tt10449276/,Get Away,Comedy,12/6/24,5.3,5.4K,0,$179.9K,86
https://www.imdb.com/title/tt15041836/,Werewolves,Action,12/6/24,4.4,5.4K,0,$2.1M,93
https://www.imdb.com/title/tt6133444/,The Fire Inside,Biography,12/25/24,6.8,1.9K,$12.0M,$8.1M,109
https://www.imdb.com/title/tt32086077/,All We Imagine as Light,Drama,10/2/24,7.1,7.3K,0,$3.1M,118
https://www.imdb.com/title/tt1340094/,The Crow,Action,8/23/24,4.7,30K,$50.0M,$24.1M,111
https://www.imdb.com/title/tt22004344/,Snack Shack,Comedy,4/2/24,7,11K,0,$455.7K,112
https://www.imdb.com/title/tt26470109/,Oddity,Horror,7/19/24,6.7,38K,0,$1.8M,98
https://www.imdb.com/title/tt27367464/,Kneecap,Comedy,8/2/24,7.6,15K,0,$4.6M,105
https://www.imdb.com/title/tt26736843/,The Watchers,Fantasy,6/7/24,5.7,53K,0,$33.4M,102
https://www.imdb.com/title/tt28277817/,Bird,Drama,12/23/24,7,6.5K,0,$1.6M,119
https://www.imdb.com/title/tt1121948/,The Killer,Action,8/23/24,5.7,12K,$30.0M,$318.6K,126
https://www.imdb.com/title/tt15939198/,Blitz,Action,11/1/24,6.2,15K,0,$1.4M,120
https://www.imdb.com/title/tt12349832/,Cuckoo,Horror,8/9/24,5.7,23K,$7.0M,$6.7M,102
https://www.imdb.com/title/tt11057302/,Madame Web,Action,2/14/24,4,98K,$80.0M,$100.5M,116
